FM,Martinique,84,NA,8,11,14.70,61.03,4.0,FM =TO5A =TO5T =TO7A;
FO,French Polynesia,175,OC,32,63,-17.65,149.40,10.0,FO;
FO/a,Austral Islands,508,OC,32,63,-23.37,149.48,10.0,=FO/F6CTL;
FO/c,Clipperton Island,36,NA,7,10,10.28,109.22,8.0,=TX5C;
FO/m,Marquesas Islands,509,OC,31,63,-8.92,140.07,9.5,=TX7M;
FP,St. Pierre & Miquelon,277,NA,5,9,46.77,56.20,3.0,FP;
FR,Reunion,453,AF,39,53,-21.12,-55.48,-4.0,FR;
FR/g,Glorioso,99,AF,39,53,-11.55,-47.28,-4.0,FT5G;
FR/j,Juan de Nova & Europa,124,AF,39,53,-17.05,-42.72,-3.0,FT5E FT5J;
FR/t,Tromelin,276,AF,39,53,-15.88,-54.50,-4.0,FT5T;
FS,French St. Martin,213,NA,8,11,18.08,63.03,4.0,FS;
FT5W,Crozet,41,AF,39,68,-46.42,-51.75,-5.0,FT0W FT1W FT2W FT4W FT5W FT8W;
FT5X,Kerguelen,131,AF,39,68,-49.00,-69.27,-5.0,FT0X FT1X FT2X FT4X FT5X FT8X;
FT5Z,Amsterdam & St. Paul,10,AF,39,68,-37.85,-77.53,-5.0,FT0Z FT1Z FT2Z FT4Z FT5Z FT8Z;
FW,Wallis & Futuna Islands,298,OC,32,62,-13.30,176.20,-12.0,FW;
FY,French Guiana,63,SA,9,12,4.00,53.00,3.0,FY;
G,England,223,EU,14,27,52.77,1.47,0.0,2 G M ZH ZI ZJ;
GD,Isle of Man,114,EU,14,27,54.20,4.53,0.0,2D 2T GD GT MD MT =GB5TD;
GI,Northern Ireland,265,EU,14,27,54.73,6.68,0.0,2I 2N GI GN MI MN =GB0SPD =GB1ROC =GB1SPD =GB2AD =GB2SPD =GB5SPD;
GJ,Jersey,122,EU,14,27,49.22,2.18,0.0,2H 2J GH GJ MH MJ;
GM,Scotland,279,EU,14,27,56.82,4.18,0.0,2A 2M 2S GA GM GS MA MM MS 2Z GZ MZ =GB0SSB =GB1KLD =GB1OL =GB2CHC =GB2GNL =GB2LBN =GB2LT =GB2MOF =GB2MUL =GB2OWM =GB2SWF =GB3SWF =GB4GS =GB4SWF =GB5CC =GB80GD =2M1ANT =2M1ASQ =2M1ODL =G0FBJ =GB0HFC =GB0OS =GB2ELH =GB2ZET =GB4SI =GM0CXQ =GM0CYJ =GM0DJI =GM0EKM =GM0ILB =GM0JDB =GM0MZD =GM0OMV =GM0VFA =GM1BYL =GM1CBQ =GM1KKI =GM1MXN =GM1ZNR =GM3KLA =GM3RFR =GM3SJA =GM3STU =GM3UPU =GM3WCH =GM3WHT =GM3XPQ =GM3ZET =GM3ZNM =GM3ZXH =GM4AGX =GM4CAQ =GM4DQD =GM4ENK =GM4FNA =GM4FNE =GM4GPN =GM4GPP =GM4GQD =GM4GQM =GM4IPK =GM4LBE =GM4LER =GM4PXG =GM4SLV =GM4SRU =GM4SSA =GM4SWU =GM4WXQ =GM4YEL =GM4ZHL =GM6RTO =GM6VZB =GM6WVI =GM6YQA =GM7GWW =GM8LNH =GM8MMA =GM8YEC =MA1FJM =MM0XAU =MM0ZCG =MM1FJM =MM5PSL =MM6SJK =MS0ZCG =MS0ZET;
GU,Guernsey,106,EU,14,27,49.45,2.58,0.0,2P 2U GP GU MP MU;
GW,Wales,294,EU,14,27,52.28,3.73,0.0,2C 2W 2X 2Y GC GW MC MW =GB0BHR =GB0HEL =GB0MPA =GB0PLB =GB0SPS =GB100GGM =GB2GGM =GB2RSC =GB2TD =GB4BPL =GB4MBC =GB4MD =GB4MDI =GB4RC =GB4SDD =GB5FI =GB8CCC;
H4,Solomon Islands,185,OC,28,51,-9.00,-160.00,-11.0,H4;
H40,Temotu,507,OC,32,51,-10.72,-165.80,-11.0,H40;
HA,Hungary,239,EU,15,28,47.12,-19.28,-1.0,HA HG;
HB,Switzerland,287,EU,14,28,46.87,-8.12,-1.0,HB HE;
HB0,Liechtenstein,251,EU,14,28,47.13,-9.57,-1.0,HB0 HE0;
HC,Ecuador,120,SA,10,12,-1.40,78.40,6.0,HC HD;
HC8,Galapagos Islands,71,SA,10,12,-0.78,91.03,6.0,HC8 HD8;
HH,Haiti,78,NA,8,11,19.02,72.18,5.0,4V HH;
HI,Dominican Republic,72,NA,8,11,19.13,70.68,4.0,HI;
HK,Colombia,116,SA,9,12,5.00,74.00,5.0,5J 5K HJ HK;
HK0/a,San Andres/Providencia,216,NA,7,11,12.55,81.72,5.0,5J0 5K0 HJ0 HK0;
HK0/m,Malpelo Island,161,SA,9,12,3.98,81.58,5.0,5J0M 5K0M HJ0M HK0M =HK0TU;
HL,South Korea,137,AS,25,44,36.23,-127.90,-9.0,6K 6L 6M 6N D7 D8 D9 DS DT HL KL9K;
HM,North Korea,344,AS,25,44,39.78,-126.30,-9.0,HM P5 P6 P7 P8 P9;
HP,Panama,88,NA,7,11,9.00,80.00,5.0,3E 3F H3 H8 H9 HO HP;
HR,Honduras,80,NA,7,11,15.00,87.00,6.0,HQ HR;
HS,Thailand,387,AS,26,49,12.60,-99.70,-7.0,E2 HS;
HV,Vatican City,295,EU,15,28,41.90,-12.47,-1.0,HV;
HZ,Saudi Arabia,378,AS,21,39,24.20,-43.83,-3.0,7Z 8Z HZ =HZ1SBS/J;
I,Italy,248,EU,15,28,42.82,-12.58,-1.0,I IB9 ID9 IE9 IF9 IG9 IH9 II9 IJ9 IO9 IQ9 IR9 IT9 IU9 IW9 IZ9;
IS,Sardinia,225,EU,15,28,40.15,-9.27,-1.0,IM0 IS IW0U IW0V IW0W IW0X IW0Y IW0Z =II0IDP =IQ0AH =IQ0QP =IQ0SS =IY0GA;
